[2025-03-17 16:54:19] Balance: 1475.20 | Win: false
[2025-03-17 17:01:44] Balance: 533.20 | Win: false
[2025-03-17 17:01:45] Balance: 532.20 | Win: false
[2025-03-17 17:01:45] Balance: 531.20 | Win: false
[2025-03-17 17:01:46] Balance: 530.20 | Win: false
[2025-03-17 17:01:47] Balance: 529.20 | Win: false
[2025-03-17 17:01:47] Balance: 528.20 | Win: false
[2025-03-17 17:01:47] Balance: 527.20 | Win: false
[2025-03-17 17:01:48] Balance: 526.20 | Win: false
[2025-03-17 17:01:48] Balance: 525.20 | Win: false
[2025-03-17 17:01:49] Balance: 524.20 | Win: false
[2025-03-17 17:01:49] Balance: 523.20 | Win: false
[2025-03-17 17:01:50] Balance: 522.20 | Win: false
[2025-03-17 17:01:50] Balance: 521.20 | Win: false
[2025-03-17 17:01:52] Balance: 520.20 | Win: false
[2025-03-17 17:01:54] Balance: 519.20 | Win: false
[2025-03-17 17:01:57] Balance: 518.20 | Win: false
[2025-03-17 17:01:57] Balance: 517.20 | Win: false
[2025-03-17 17:01:58] Balance: 516.20 | Win: false
[2025-03-17 17:01:58] Balance: 515.20 | Win: false
[2025-03-17 17:01:59] Balance: 514.20 | Win: false
[2025-03-17 17:01:59] Balance: 513.20 | Win: false
[2025-03-17 17:01:59] Balance: 512.20 | Win: false
[2025-03-17 17:02:00] Balance: 511.20 | Win: false
[2025-03-17 17:02:00] Balance: 510.20 | Win: false
[2025-03-17 17:02:01] Balance: 509.20 | Win: false
[2025-03-17 17:02:01] Balance: 508.20 | Win: false
[2025-03-17 17:02:01] Balance: 507.20 | Win: false
[2025-03-17 17:02:02] Balance: 506.20 | Win: false
[2025-03-17 17:02:02] Balance: 505.20 | Win: false
[2025-03-17 17:02:03] Balance: 504.20 | Win: false
[2025-03-17 17:02:03] Balance: 503.20 | Win: false
[2025-03-17 17:02:03] Balance: 502.20 | Win: false
[2025-03-17 17:02:04] Balance: 501.20 | Win: false
[2025-03-17 17:02:04] Balance: 500.20 | Win: false
[2025-03-17 17:02:04] Balance: 499.20 | Win: false
[2025-03-17 17:02:05] Balance: 498.20 | Win: false
[2025-03-17 17:02:05] Balance: 497.20 | Win: false
[2025-03-17 17:02:05] Balance: 496.20 | Win: false
[2025-03-17 17:02:06] Balance: 495.20 | Win: false
[2025-03-17 17:02:06] Balance: 494.20 | Win: false
[2025-03-17 17:02:06] Balance: 493.20 | Win: false
[2025-03-17 17:02:07] Balance: 492.20 | Win: false
[2025-03-17 17:02:07] Balance: 491.20 | Win: false
[2025-03-17 17:02:08] Balance: 490.20 | Win: false
[2025-03-17 17:02:08] Balance: 489.20 | Win: false
[2025-03-17 17:02:08] Balance: 488.20 | Win: false
[2025-03-17 17:02:09] Balance: 487.20 | Win: false
[2025-03-17 17:02:09] Balance: 585.20 | Win: true
[2025-03-17 17:02:10] Balance: 584.20 | Win: false
[2025-03-17 17:02:10] Balance: 583.20 | Win: false
[2025-03-17 17:02:10] Balance: 582.20 | Win: false
[2025-03-17 17:02:11] Balance: 581.20 | Win: false
[2025-03-17 17:02:11] Balance: 580.20 | Win: false
[2025-03-17 17:02:11] Balance: 579.20 | Win: false
[2025-03-17 17:02:12] Balance: 578.20 | Win: false
[2025-03-17 17:02:12] Balance: 577.20 | Win: false
[2025-03-17 17:02:13] Balance: 576.20 | Win: false
[2025-03-17 17:02:14] Balance: 575.20 | Win: false
[2025-03-17 17:02:15] Balance: 574.20 | Win: false
[2025-03-17 17:02:15] Balance: 573.20 | Win: false
[2025-03-17 17:02:15] Balance: 572.20 | Win: false
[2025-03-17 17:02:16] Balance: 571.20 | Win: false
[2025-03-17 17:02:16] Balance: 570.20 | Win: false
[2025-03-17 17:02:17] Balance: 569.20 | Win: false
[2025-03-17 17:02:17] Balance: 568.20 | Win: false
[2025-03-17 17:02:17] Balance: 567.20 | Win: false
[2025-03-17 17:02:18] Balance: 566.20 | Win: false
[2025-03-17 17:02:18] Balance: 565.20 | Win: false
[2025-03-17 17:02:18] Balance: 564.20 | Win: false
[2025-03-17 17:02:19] Balance: 563.20 | Win: false
[2025-03-17 17:02:19] Balance: 562.20 | Win: false
[2025-03-17 17:02:20] Balance: 561.20 | Win: false
[2025-03-17 17:02:20] Balance: 560.20 | Win: false
[2025-03-17 17:02:20] Balance: 559.20 | Win: false
[2025-03-17 17:02:21] Balance: 558.20 | Win: false
[2025-03-17 17:02:21] Balance: 557.20 | Win: false
[2025-03-17 17:02:21] Balance: 556.20 | Win: false
[2025-03-17 17:02:22] Balance: 555.20 | Win: false
[2025-03-17 17:02:22] Balance: 554.20 | Win: false
[2025-03-17 17:02:22] Balance: 553.20 | Win: false
[2025-03-17 17:02:23] Balance: 552.20 | Win: false
[2025-03-17 17:02:23] Balance: 551.20 | Win: false
[2025-03-17 17:02:24] Balance: 550.20 | Win: false
[2025-03-17 17:02:24] Balance: 549.20 | Win: false
[2025-03-17 17:02:25] Balance: 548.20 | Win: false
[2025-03-17 17:02:25] Balance: 547.20 | Win: false
[2025-03-17 17:02:25] Balance: 546.20 | Win: false
[2025-03-17 17:02:26] Balance: 545.20 | Win: false
[2025-03-17 17:02:26] Balance: 544.20 | Win: false
[2025-03-17 17:02:26] Balance: 543.20 | Win: false
[2025-03-17 17:02:27] Balance: 542.20 | Win: false
[2025-03-17 17:02:27] Balance: 541.20 | Win: false
[2025-03-17 17:02:28] Balance: 540.20 | Win: false
[2025-03-17 17:02:28] Balance: 539.20 | Win: false
[2025-03-17 17:02:28] Balance: 538.20 | Win: false
[2025-03-17 17:02:29] Balance: 537.20 | Win: false
[2025-03-17 17:02:29] Balance: 536.20 | Win: false
[2025-03-17 17:02:29] Balance: 535.20 | Win: false
[2025-03-17 17:02:30] Balance: 534.20 | Win: false
[2025-03-17 17:02:30] Balance: 533.20 | Win: false
[2025-03-17 17:02:31] Balance: 532.20 | Win: false
[2025-03-17 17:02:31] Balance: 531.20 | Win: false
[2025-03-17 17:02:31] Balance: 530.20 | Win: false
[2025-03-17 17:02:32] Balance: 529.20 | Win: false
[2025-03-17 17:02:32] Balance: 528.20 | Win: false
[2025-03-17 17:02:32] Balance: 527.20 | Win: false
[2025-03-17 17:02:33] Balance: 526.20 | Win: false
[2025-03-17 17:02:33] Balance: 525.20 | Win: false
[2025-03-17 17:02:33] Balance: 524.20 | Win: false
[2025-03-17 17:02:34] Balance: 523.20 | Win: false
[2025-03-17 17:02:34] Balance: 522.20 | Win: false
[2025-03-17 17:02:35] Balance: 521.20 | Win: false
[2025-03-17 17:02:35] Balance: 520.20 | Win: false
[2025-03-17 17:02:35] Balance: 519.20 | Win: false
[2025-03-17 17:02:36] Balance: 518.20 | Win: false
[2025-03-17 17:02:36] Balance: 517.20 | Win: false
[2025-03-17 17:02:37] Balance: 516.20 | Win: false
[2025-03-17 17:02:37] Balance: 515.20 | Win: false
[2025-03-17 17:02:37] Balance: 514.20 | Win: false
[2025-03-17 17:02:38] Balance: 513.20 | Win: false
[2025-03-17 17:02:38] Balance: 512.20 | Win: false
[2025-03-17 17:02:38] Balance: 511.20 | Win: false
[2025-03-17 17:02:39] Balance: 510.20 | Win: false
[2025-03-17 17:02:39] Balance: 509.20 | Win: false
[2025-03-17 17:02:40] Balance: 508.20 | Win: false
[2025-03-17 17:02:40] Balance: 507.20 | Win: false
[2025-03-17 17:02:41] Balance: 506.20 | Win: false
[2025-03-17 17:02:41] Balance: 505.20 | Win: false
[2025-03-17 17:02:42] Balance: 504.20 | Win: false
[2025-03-17 17:02:42] Balance: 503.20 | Win: false
[2025-03-17 17:02:42] Balance: 502.20 | Win: false
[2025-03-17 17:02:43] Balance: 501.20 | Win: false
[2025-03-17 17:02:43] Balance: 500.20 | Win: false
[2025-03-17 17:02:43] Balance: 499.20 | Win: false
[2025-03-17 17:02:44] Balance: 498.20 | Win: false
[2025-03-17 17:02:44] Balance: 497.20 | Win: false
[2025-03-17 17:02:45] Balance: 496.20 | Win: false
[2025-03-17 17:02:45] Balance: 495.20 | Win: false
[2025-03-17 17:02:45] Balance: 494.20 | Win: false
[2025-03-17 17:02:46] Balance: 493.20 | Win: false
[2025-03-17 17:02:46] Balance: 492.20 | Win: false
[2025-03-17 17:02:46] Balance: 491.20 | Win: false
[2025-03-17 17:02:47] Balance: 490.20 | Win: false
[2025-03-17 17:02:47] Balance: 489.20 | Win: false
[2025-03-17 17:02:48] Balance: 488.20 | Win: false
[2025-03-17 17:02:48] Balance: 487.20 | Win: false
[2025-03-17 17:02:48] Balance: 486.20 | Win: false
[2025-03-17 17:02:49] Balance: 485.20 | Win: false
[2025-03-17 17:02:49] Balance: 484.20 | Win: false
[2025-03-17 17:02:49] Balance: 483.20 | Win: false
[2025-03-17 17:02:50] Balance: 482.20 | Win: false
[2025-03-17 17:02:50] Balance: 481.20 | Win: false
[2025-03-17 17:02:51] Balance: 480.20 | Win: false
[2025-03-17 17:02:51] Balance: 479.20 | Win: false
[2025-03-17 17:02:51] Balance: 478.20 | Win: false
[2025-03-17 17:02:52] Balance: 477.20 | Win: false
[2025-03-17 17:02:52] Balance: 476.20 | Win: false
[2025-03-17 17:02:53] Balance: 475.20 | Win: false
[2025-03-17 17:02:53] Balance: 474.20 | Win: false
[2025-03-17 17:02:53] Balance: 473.20 | Win: false
[2025-03-17 17:02:54] Balance: 472.20 | Win: false
[2025-03-17 17:02:54] Balance: 471.20 | Win: false
[2025-03-17 17:02:55] Balance: 470.20 | Win: false
[2025-03-17 17:02:55] Balance: 469.20 | Win: false
[2025-03-17 17:02:55] Balance: 468.20 | Win: false
[2025-03-17 17:02:56] Balance: 467.20 | Win: false
[2025-03-17 17:02:56] Balance: 466.20 | Win: false
[2025-03-17 17:02:56] Balance: 465.20 | Win: false
[2025-03-17 17:02:57] Balance: 464.20 | Win: false
[2025-03-17 17:02:57] Balance: 463.20 | Win: false
[2025-03-17 17:02:58] Balance: 462.20 | Win: false
[2025-03-17 17:02:58] Balance: 461.20 | Win: false
[2025-03-17 17:02:58] Balance: 460.20 | Win: false
[2025-03-17 17:02:59] Balance: 459.20 | Win: false
[2025-03-17 17:02:59] Balance: 458.20 | Win: false
[2025-03-17 17:02:59] Balance: 457.20 | Win: false
[2025-03-17 17:03:00] Balance: 456.20 | Win: false
[2025-03-17 17:03:00] Balance: 455.20 | Win: false
[2025-03-17 17:03:00] Balance: 454.20 | Win: false
[2025-03-17 17:03:01] Balance: 453.20 | Win: false
[2025-03-17 17:03:01] Balance: 452.20 | Win: false
[2025-03-17 17:03:02] Balance: 451.20 | Win: false
[2025-03-17 17:03:02] Balance: 450.20 | Win: false
[2025-03-17 17:03:03] Balance: 449.20 | Win: false
[2025-03-17 17:03:03] Balance: 448.20 | Win: false
[2025-03-17 17:03:03] Balance: 447.20 | Win: false
[2025-03-17 17:03:04] Balance: 446.20 | Win: false
[2025-03-17 17:03:04] Balance: 445.20 | Win: false
[2025-03-17 17:03:04] Balance: 444.20 | Win: false
[2025-03-17 17:03:05] Balance: 443.20 | Win: false
[2025-03-17 17:03:05] Balance: 442.20 | Win: false
[2025-03-17 17:03:06] Balance: 441.20 | Win: false
[2025-03-17 17:03:06] Balance: 440.20 | Win: false
[2025-03-17 17:03:06] Balance: 439.20 | Win: false
[2025-03-17 17:03:07] Balance: 438.20 | Win: false
[2025-03-17 17:03:07] Balance: 437.20 | Win: false
[2025-03-17 17:03:07] Balance: 436.20 | Win: false
[2025-03-17 17:03:08] Balance: 435.20 | Win: false
[2025-03-17 17:03:08] Balance: 434.20 | Win: false
[2025-03-17 17:03:09] Balance: 433.20 | Win: false
[2025-03-17 17:03:09] Balance: 432.20 | Win: false
[2025-03-17 17:03:09] Balance: 431.20 | Win: false
[2025-03-17 17:03:10] Balance: 430.20 | Win: false
[2025-03-17 17:03:10] Balance: 429.20 | Win: false
[2025-03-17 17:03:10] Balance: 428.20 | Win: false
[2025-03-17 17:03:11] Balance: 427.20 | Win: false
[2025-03-17 17:03:11] Balance: 426.20 | Win: false
[2025-03-17 17:03:12] Balance: 425.20 | Win: false
[2025-03-17 17:03:12] Balance: 424.20 | Win: false
[2025-03-17 17:03:12] Balance: 423.20 | Win: false
[2025-03-17 17:03:13] Balance: 422.20 | Win: false
[2025-03-17 17:03:13] Balance: 421.20 | Win: false
[2025-03-17 17:03:13] Balance: 420.20 | Win: false
[2025-03-17 17:03:14] Balance: 419.20 | Win: false
[2025-03-17 17:03:15] Balance: 418.20 | Win: false
[2025-03-17 17:03:15] Balance: 417.20 | Win: false
[2025-03-17 17:03:15] Balance: 416.20 | Win: false
[2025-03-17 17:03:16] Balance: 415.20 | Win: false
[2025-03-17 17:03:16] Balance: 414.20 | Win: false
[2025-03-17 17:03:16] Balance: 413.20 | Win: false
[2025-03-17 17:03:17] Balance: 412.20 | Win: false
[2025-03-17 17:03:17] Balance: 411.20 | Win: false
[2025-03-17 17:03:17] Balance: 410.20 | Win: false
[2025-03-17 17:03:18] Balance: 409.20 | Win: false
[2025-03-17 17:03:18] Balance: 408.20 | Win: false
[2025-03-17 17:03:19] Balance: 407.20 | Win: false
[2025-03-17 17:03:19] Balance: 406.20 | Win: false
[2025-03-17 17:03:19] Balance: 405.20 | Win: false
[2025-03-17 17:03:20] Balance: 404.20 | Win: false
[2025-03-17 17:03:20] Balance: 403.20 | Win: false
[2025-03-17 17:03:21] Balance: 402.20 | Win: false
[2025-03-17 17:03:21] Balance: 401.20 | Win: false
[2025-03-17 17:03:21] Balance: 400.20 | Win: false
[2025-03-17 17:03:22] Balance: 399.20 | Win: false
[2025-03-17 17:03:22] Balance: 398.20 | Win: false
[2025-03-17 17:03:22] Balance: 397.20 | Win: false
[2025-03-17 17:03:23] Balance: 396.20 | Win: false
[2025-03-17 17:03:23] Balance: 395.20 | Win: false
[2025-03-17 17:03:23] Balance: 394.20 | Win: false
[2025-03-17 17:03:24] Balance: 393.20 | Win: false
[2025-03-17 17:03:24] Balance: 392.20 | Win: false
[2025-03-17 17:03:24] Balance: 391.20 | Win: false
[2025-03-17 17:03:25] Balance: 390.20 | Win: false
[2025-03-17 17:03:25] Balance: 389.20 | Win: false
[2025-03-17 17:03:25] Balance: 388.20 | Win: false
[2025-03-17 17:03:26] Balance: 387.20 | Win: false
[2025-03-17 17:03:26] Balance: 386.20 | Win: false
[2025-03-17 17:03:26] Balance: 385.20 | Win: false
[2025-03-17 17:03:27] Balance: 384.20 | Win: false
[2025-03-17 17:03:27] Balance: 383.20 | Win: false
[2025-03-17 17:03:27] Balance: 382.20 | Win: false
[2025-03-17 17:03:28] Balance: 381.20 | Win: false
[2025-03-17 17:03:28] Balance: 380.20 | Win: false
[2025-03-17 17:03:29] Balance: 379.20 | Win: false
[2025-03-17 17:03:29] Balance: 378.20 | Win: false
[2025-03-17 17:03:30] Balance: 377.20 | Win: false
[2025-03-17 17:03:30] Balance: 376.20 | Win: false
[2025-03-17 17:03:30] Balance: 375.20 | Win: false
[2025-03-17 17:03:31] Balance: 374.20 | Win: false
[2025-03-17 17:03:31] Balance: 373.20 | Win: false
[2025-03-17 17:03:32] Balance: 372.20 | Win: false
[2025-03-17 17:03:32] Balance: 371.20 | Win: false
[2025-03-17 17:03:32] Balance: 370.20 | Win: false
[2025-03-17 17:03:33] Balance: 369.20 | Win: false
[2025-03-17 17:03:33] Balance: 368.20 | Win: false
[2025-03-17 17:03:33] Balance: 367.20 | Win: false
[2025-03-17 17:03:34] Balance: 366.20 | Win: false
[2025-03-17 17:03:34] Balance: 365.20 | Win: false
[2025-03-17 17:03:34] Balance: 364.20 | Win: false
[2025-03-17 17:03:35] Balance: 363.20 | Win: false
[2025-03-17 17:03:35] Balance: 362.20 | Win: false
[2025-03-17 17:03:35] Balance: 361.20 | Win: false
[2025-03-17 17:03:36] Balance: 360.20 | Win: false
[2025-03-17 17:03:36] Balance: 359.20 | Win: false
[2025-03-17 17:03:36] Balance: 358.20 | Win: false
[2025-03-17 17:03:37] Balance: 357.20 | Win: false
[2025-03-17 17:04:05] Balance: 356.20 | Win: false
[2025-03-17 17:04:06] Balance: 355.20 | Win: false
[2025-03-17 17:04:06] Balance: 354.20 | Win: false
[2025-03-17 17:04:07] Balance: 353.20 | Win: false
[2025-03-17 17:04:07] Balance: 352.20 | Win: false
[2025-03-17 17:04:07] Balance: 450.20 | Win: true
[2025-03-17 17:04:08] Balance: 449.20 | Win: false
[2025-03-17 17:04:08] Balance: 448.20 | Win: false
[2025-03-17 17:04:09] Balance: 447.20 | Win: false
[2025-03-17 17:04:09] Balance: 446.20 | Win: false
[2025-03-17 17:04:09] Balance: 445.20 | Win: false
[2025-03-17 17:04:10] Balance: 444.20 | Win: false
[2025-03-17 17:04:10] Balance: 443.20 | Win: false
[2025-03-17 17:04:11] Balance: 442.20 | Win: false
[2025-03-17 17:04:11] Balance: 441.20 | Win: false
[2025-03-17 17:04:11] Balance: 440.20 | Win: false
[2025-03-17 17:04:12] Balance: 439.20 | Win: false
[2025-03-17 17:04:12] Balance: 438.20 | Win: false
[2025-03-17 17:04:13] Balance: 437.20 | Win: false
[2025-03-17 17:04:13] Balance: 436.20 | Win: false
[2025-03-17 17:04:13] Balance: 435.20 | Win: false
[2025-03-17 17:04:14] Balance: 434.20 | Win: false
[2025-03-17 17:04:14] Balance: 433.20 | Win: false
[2025-03-17 17:04:14] Balance: 432.20 | Win: false
[2025-03-17 17:04:15] Balance: 431.20 | Win: false
[2025-03-17 17:04:15] Balance: 430.20 | Win: false
[2025-03-17 17:04:16] Balance: 429.20 | Win: false
[2025-03-17 17:04:16] Balance: 428.20 | Win: false
[2025-03-17 17:04:16] Balance: 427.20 | Win: false
[2025-03-17 17:04:46] Balance: 426.20 | Win: false
[2025-03-17 17:04:47] Balance: 425.20 | Win: false
[2025-03-17 17:04:47] Balance: 424.20 | Win: false
[2025-03-17 17:04:47] Balance: 423.20 | Win: false
[2025-03-17 17:04:48] Balance: 422.20 | Win: false
[2025-03-17 17:04:48] Balance: 421.20 | Win: false
[2025-03-17 17:04:49] Balance: 420.20 | Win: false
[2025-03-17 17:04:49] Balance: 419.20 | Win: false
[2025-03-17 17:04:49] Balance: 418.20 | Win: false
[2025-03-17 17:04:50] Balance: 417.20 | Win: false
[2025-03-17 17:04:50] Balance: 416.20 | Win: false
[2025-03-17 17:04:50] Balance: 415.20 | Win: false
[2025-03-17 17:04:51] Balance: 414.20 | Win: false
[2025-03-17 17:04:51] Balance: 413.20 | Win: false
[2025-03-17 17:04:52] Balance: 412.20 | Win: false
[2025-03-17 17:04:52] Balance: 411.20 | Win: false
[2025-03-17 17:04:52] Balance: 410.20 | Win: false
[2025-03-17 17:04:53] Balance: 409.20 | Win: false
[2025-03-17 17:04:53] Balance: 408.20 | Win: false
[2025-03-17 17:04:53] Balance: 407.20 | Win: false
[2025-03-17 17:04:54] Balance: 406.20 | Win: false
[2025-03-17 17:04:54] Balance: 405.20 | Win: false
[2025-03-17 17:04:55] Balance: 404.20 | Win: false
[2025-03-17 17:04:55] Balance: 403.20 | Win: false
[2025-03-17 17:04:55] Balance: 402.20 | Win: false
[2025-03-17 17:04:56] Balance: 401.20 | Win: false
[2025-03-17 17:04:56] Balance: 400.20 | Win: false
[2025-03-17 17:04:56] Balance: 399.20 | Win: false
[2025-03-17 17:04:57] Balance: 398.20 | Win: false
[2025-03-17 17:04:57] Balance: 397.20 | Win: false
[2025-03-17 17:04:57] Balance: 396.20 | Win: false
[2025-03-17 17:04:58] Balance: 395.20 | Win: false
[2025-03-17 17:04:58] Balance: 394.20 | Win: false
[2025-03-17 17:04:59] Balance: 393.20 | Win: false
[2025-03-17 17:04:59] Balance: 392.20 | Win: false
[2025-03-17 17:05:07] Balance: 391.20 | Win: false
[2025-03-17 17:05:07] Balance: 390.20 | Win: false
[2025-03-17 17:05:07] Balance: 389.20 | Win: false
[2025-03-17 17:05:08] Balance: 388.20 | Win: false
[2025-03-17 17:05:08] Balance: 387.20 | Win: false
[2025-03-17 17:05:09] Balance: 386.20 | Win: false
[2025-03-17 17:05:09] Balance: 385.20 | Win: false
[2025-03-17 17:05:09] Balance: 384.20 | Win: false
[2025-03-17 17:05:10] Balance: 383.20 | Win: false
[2025-03-17 17:05:10] Balance: 382.20 | Win: false
[2025-03-17 17:05:10] Balance: 381.20 | Win: false
[2025-03-17 17:05:11] Balance: 380.20 | Win: false
[2025-03-17 17:05:11] Balance: 379.20 | Win: false
[2025-03-17 17:05:12] Balance: 378.20 | Win: false
[2025-03-17 17:05:12] Balance: 377.20 | Win: false
[2025-03-17 17:05:12] Balance: 376.20 | Win: false
[2025-03-17 17:05:13] Balance: 375.20 | Win: false
[2025-03-17 17:05:13] Balance: 374.20 | Win: false
[2025-03-17 17:05:13] Balance: 373.20 | Win: false
[2025-03-17 17:05:14] Balance: 372.20 | Win: false
[2025-03-17 17:05:14] Balance: 371.20 | Win: false
[2025-03-17 17:05:15] Balance: 370.20 | Win: false
[2025-03-17 17:05:15] Balance: 369.20 | Win: false
[2025-03-17 17:05:15] Balance: 368.20 | Win: false
[2025-03-17 17:05:16] Balance: 367.20 | Win: false
[2025-03-17 17:05:16] Balance: 366.20 | Win: false
[2025-03-17 17:05:16] Balance: 365.20 | Win: false
[2025-03-17 17:05:17] Balance: 364.20 | Win: false
[2025-03-17 17:05:17] Balance: 363.20 | Win: false
[2025-03-17 17:05:18] Balance: 362.20 | Win: false
[2025-03-17 17:05:18] Balance: 361.20 | Win: false
[2025-03-17 17:05:18] Balance: 360.20 | Win: false
[2025-03-17 17:05:19] Balance: 359.20 | Win: false
[2025-03-17 17:05:19] Balance: 358.20 | Win: false
[2025-03-17 17:05:20] Balance: 357.20 | Win: false
[2025-03-17 17:05:20] Balance: 356.20 | Win: false
[2025-03-17 17:05:21] Balance: 355.20 | Win: false
[2025-03-17 17:05:21] Balance: 354.20 | Win: false
[2025-03-17 17:05:21] Balance: 353.20 | Win: false
[2025-03-17 17:05:22] Balance: 352.20 | Win: false
[2025-03-17 17:05:22] Balance: 351.20 | Win: false
[2025-03-17 17:05:22] Balance: 350.20 | Win: false
[2025-03-17 17:05:23] Balance: 349.20 | Win: false
[2025-03-17 17:05:23] Balance: 348.20 | Win: false
[2025-03-17 17:05:24] Balance: 347.20 | Win: false
[2025-03-17 17:05:24] Balance: 346.20 | Win: false
[2025-03-17 17:05:24] Balance: 345.20 | Win: false
[2025-03-17 17:05:25] Balance: 344.20 | Win: false
[2025-03-17 17:05:25] Balance: 343.20 | Win: false
[2025-03-17 17:05:25] Balance: 342.20 | Win: false
[2025-03-17 17:05:26] Balance: 341.20 | Win: false
[2025-03-17 17:05:26] Balance: 340.20 | Win: false
[2025-03-17 17:05:26] Balance: 339.20 | Win: false
[2025-03-17 17:05:27] Balance: 338.20 | Win: false
[2025-03-17 17:05:27] Balance: 337.20 | Win: false
[2025-03-17 17:05:27] Balance: 336.20 | Win: false
[2025-03-17 17:05:28] Balance: 335.20 | Win: false
[2025-03-17 17:05:28] Balance: 334.20 | Win: false
[2025-03-17 17:05:29] Balance: 333.20 | Win: false
[2025-03-17 17:05:29] Balance: 332.20 | Win: false
